pageid,ns,title,contentmodel,pagelanguage,pagelanguagehtmlcode,pagelanguagedir,touched,lastrevid,length,talkid,fullurl,editurl,canonicalurl,article_rating,watchers,redirect,new
68481190,0,Abdul Sattar Mirzakwal,wikitext,en,en,ltr,2024-09-27T02:32:19Z,1145249317,2014,68481193.0,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,https://en.wikipedia.org/w/index.php?title=Abdul_Sattar_Mirzakwal&action=edit,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,Stub,,,
24671281,0,Abdul Zahir (Konar Education Minister),wikitext,en,en,ltr,2024-09-27T00:59:51Z,1126667481,869,28093437.0,https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),https://en.wikipedia.org/w/index.php?title=Abdul_Zahir_(Konar_Education_Minister)&action=edit,https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),Stub,,,
68624823,0,Ahmadullah Wasiq,wikitext,en,en,ltr,2024-10-13T16:08:02Z,1171042170,5247,68639469.0,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,https://en.wikipedia.org/w/index.php?title=Ahmadullah_Wasiq&action=edit,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,Start,,,
35520084,0,Ali Mohammad (politician),wikitext,en,en,ltr,2024-10-13T20:05:38Z,1136630194,2393,37057022.0,https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),https://en.wikipedia.org/w/index.php?title=Ali_Mohammad_(politician)&action=edit,https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),Stub,,,
7249978,0,Ali Pasha of Gusinje,wikitext,en,en,ltr,2024-10-14T01:48:58Z,1244421894,11196,10482642.0,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,https://en.wikipedia.org/w/index.php?title=Ali_Pasha_of_Gusinje&action=edit,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,GA,32.0,,
19887970,0,Azis Tahir Ajdonati,wikitext,en,en,ltr,2024-10-13T15:59:48Z,1192928746,1864,25727972.0,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,https://en.wikipedia.org/w/index.php?title=Azis_Tahir_Ajdonati&action=edit,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Stub,,,
38515087,0,Baktash Siawash,wikitext,en,en,ltr,2024-10-13T17:03:07Z,1250972393,1302,38515146.0,https://en.wikipedia.org/wiki/Baktash_Siawash,https://en.wikipedia.org/w/index.php?title=Baktash_Siawash&action=edit,https://en.wikipedia.org/wiki/Baktash_Siawash,Stub,,,
30319287,0,Bardhok Biba,wikitext,en,en,ltr,2024-10-13T20:05:08Z,1250227174,7501,30319345.0,https://en.wikipedia.org/wiki/Bardhok_Biba,https://en.wikipedia.org/w/index.php?title=Bardhok_Biba&action=edit,https://en.wikipedia.org/wiki/Bardhok_Biba,C,,,
49011996,0,Bislim Bajgora,wikitext,en,en,ltr,2024-10-13T20:07:00Z,1217284690,7992,49015444.0,https://en.wikipedia.org/wiki/Bislim_Bajgora,https://en.wikipedia.org/w/index.php?title=Bislim_Bajgora&action=edit,https://en.wikipedia.org/wiki/Bislim_Bajgora,C,,,
66087536,0,Daoud Naji,wikitext,en,en,ltr,2024-10-13T16:07:41Z,1247131367,5429,66111399.0,https://en.wikipedia.org/wiki/Daoud_Naji,https://en.wikipedia.org/w/index.php?title=Daoud_Naji&action=edit,https://en.wikipedia.org/wiki/Daoud_Naji,Start,,,
